"","School","Program","Name","Description","Code","Credits"
"1","New York University","Master of Science in Business Analytics","Foundations of Statistics Using R "," The purpose of this course is to ensure that students are prepared to use R as a statistical tool and understand the fundamental statistical concepts. This course is divided into two parts: 1) Getting Started with R and 2) Statistics and R. Part 1: Getting started with R: The R portion of the course will equip students with the skills needed to work with data using the R statistical computing application. This begins with developing a basic understanding of the R working environment. Second, students will learn to use R while being introduced to the necessary arithmetic and logical operators, and salient functions for manipulating data. Next, students will be introduced to the common data structures, variables, and data types used in R. Students will learn how to develop their own R scripts and utilize the various packages available in R for visualization, manipulation, and statistical analysis. Students will learn how to import data sets and transform and manipulate those datasets for various analytical purposes such as dealing with missing data. Finally, students will learn how to create control structures, such as loops and conditional statements to traverse, sort, merge, and evaluate data. Part 2: Statistics and R: In the second part of the class basic concepts of probability and statistics will be introduced. We shall study the concepts of population and sample, discuss the difference between population parameters and sample statistics, and draw inferences from known sample statistics to usually unknown population parameters. We shall study discrete distributions along with their means and standard deviations, paying particular attention to the binomial distribution. We shall also study continuous distributions and their probability density functions, paying special attention to the most central of the continuous distributions—the normal distribution. The Central Limit Theorem will be introduced, and confidence intervals and statistical tests will be discussed. We shall then study the simple and multiple linear regression and their applications to prediction and forecast. Topics covered:  Getting started with R (commands, arithmetic operators, logical operators, functions) Data structures and types Writing scripts Descriptive statistics Statistical graphs Working and manipulating data sets in R       ",NA,NA
"2","New York University","Master of Science in Business Analytics","Digital Marketing Analytics"," The emergence of the Internet has drastically changed marketing. Some traditional marketing strategies are now completely outdated, others have been deeply transformed, and new digital marketing strategies are continuously emerging based on the unprecedented access to vast amounts of information about products, firms, and consumer behavior. The Internet is now encroaching core business activities such as new product design, advertising, marketing and sales, creation of word-of-mouth, new start-up funding, and customer service. Our goal in this class is to discuss the new business models in electronic commerce that have been enabled by Internet-based social media and advertising technologies, and to analyze the impact these technologies and business models have on industries, firms, and people. We will inform our discussions with insights from data and metrics that can guide us for measurement. To recognize how businesses can successfully leverage these technologies, we will therefore go beyond the technology itself and investigate some key questions. Topics covered:  Econometric regression modeling Selection problems Omitted variables problems Endogeneity Log transformations Econometrics-based tools       ",NA,NA
"3","New York University","Master of Science in Business Analytics","Data Science for Business Analytics"," This course will change the way you think about data and its role in business. Businesses, governments, and individuals create massive collections of data as a byproduct of their activity. Increasingly, decision-makers and systems rely on intelligent technology to analyze data systematically to improve decision-making. In many cases, automating analytical and decision-making processes is necessary because of the volume of data and the speed with which new data are generated. We will examine how data analysis technologies can be used to improve decision-making. We will study the fundamental principles and techniques of data mining, and we will examine real-world examples and cases to place data-mining techniques in context, to develop data-analytic thinking, and to illustrate that proper application is as much an art as it is a science. In addition, we will work “hands-on” with data mining software. Topics covered:  Data mining and data mining processes Introduction to predictive modeling Data fitting and over fitting Model testing Cross-validation and learning curves Model performance analytics Unsupervised learning and clustering Bayesian reasoning and text classification       ",NA,NA
"4","New York University","Master of Science in Business Analytics","Dealing with Data"," All analytics projects rely on data. A crucial step in a business analytics process is creating the dataset that will be analyzed. Unfortunately, the vast majority of the stakeholders do not pay serious attention at this step; however, streamlining and understanding the data often takes 90% of the effort and time of a data analytics project. Furthermore, because most people do not know how the dataset was created, they miss important details and assumptions that were part of the data gathering and handling process, leading to serious problems down the road. This class is designed to teach students to handle data programmatically, without being software engineers. This course guides students through the whole data management process, from initial data acquisition to final data analysis. From a tools perspective, we cover Python and SQL. SQL is the lingua franca for all data analysts, and virtually all companies store their data in SQL-accessible repositories. Python serves as a great general-purpose programming language for a wide variety of data management tasks, and is commonly used as the “glue” that brings together all the different aspects of the analytics process. Topics covered:  Data modeling and ER model Relational databases and SQL Accessing data sources: Web APIs Data manipulation using Python Pandas Regular expressions and Web Crawling Text Analytics       ",NA,NA
"5","New York University","Master of Science in Business Analytics","Decision Models"," This course trains students to turn real-world problems into mathematical and spreadsheet models and to use such models to make better managerial decisions. This is a hands-on course that focuses on modeling business problems, turning them into Excel spreadsheet models and using tools like Solver and Crystal Ball to obtain solutions to these managerial problems. The course focuses on two classes of models: optimization and simulation. The application areas are diverse and they originate from problems in finance, marketing and operations. We cover problems such as how to optimize a supply chain, how to price products when faced with demand uncertainty, and how to price exotic financial options using Monte Carlo simulation. Topics covered:  Linear and linear integer programming Nonlinear programming and evolutionary solver Simulation and optimization Multi-period linear programming Monte Carlo simulation       ",NA,NA
"6","New York University","Master of Science in Business Analytics","Data Mining in R"," The goal of this course is to provide hands-on experience on key data mining technologies using one particular tool—the R environment. R is a fast growing technology that has been witnessing widespread acceptance both in academia and industry. Recent surveys have even put it in the top regarding usage by professional data miners (Rexer Analytics survey, 2013). There are many factors contributing for this acceptance, but clearly these include the price (free), being open source (trustworthy software that can be easily inspected/checked for flaws), the extension of available methods (exponential growth of the set of available methods for different application areas), and the available support from the community (an extremely large community of knowledgeable experts proving top-notch support for free). This course illustrates the use of R for several key data mining processes. This illustration will be driven by concrete case studies that we will “solve” using R. The course can be regarded as a hands-on complement of the Data Science for Business Analytics. Topics covered:  Data pre-processing (dealing with unknown values) Defining the data mining task Classification approaches Performance estimation for time series models Modeling and performance estimation Model outcomes and model selection     ",NA,NA
"7","New York University","Master of Science in Business Analytics","Data Driven Decision Making"," ""Every two days we now create as much information as we did from the dawn of civilization up until 2003."" —Eric Schmidt (CEO Google) ""Data are widely available; what is scarce is the ability to extract wisdom from them."" —Hal Varian (UC Berkeley and Chief Economist, Google) The two quotes above summarize the main theme of this course. In every aspect of our daily lives, from the way we work, shop, communicate, or socialize, we are both consuming and creating vast amounts of information. More often than not, these daily activities create a trail of digitized data that is being stored, mined, and analyzed by firms hoping to create valuable business intelligence. With technological advances and developments in customer databases, firms have access to vast amounts of high-quality data which allows them to understand customer behavior and customize business tactics to increasingly fine segments or even segments of one. However, much of the promise of such data-driven policies has failed to materialize because managers find it difficult to translate customer data into actionable policies. The general objective of this course is to fill this gap by providing students with tools and techniques that can be utilized for making business decisions. Note that this is not a statistics or mathematics course. The emphasis of the class will be on applications and interpretation of the results for making real life business decisions. Topics covered: Regression-based model development Capturing non-linear effects: dummy variables & log transformations Estimating & Interpreting log demand models Using log-regressions to understand competitive marketplace       ",NA,NA
"8","New York University","Master of Science in Business Analytics","Operations Analytics"," “Operations and supply management use analytical thinking to deal with real-world problems.” —F. Robert Jacobs.  This course is an introduction to the principles and techniques of operations analytics. Operations and supply management is defined as the design, operation, and improvement of the systems that create and deliver the firm's primary products and services. “A critical success factor in gaining competitive advantage is the ability to apply the right analytics at the right time, to the right people, at the right place and under the right situation.” —Joseph Chan.  In this course, students will learn operations models and techniques that work with large data sources. Operations management has dealt with applying analytics for many years. Recently, however, due to big data, many older models and software are incapable of running the analyses. This course will demonstrate the application of Operations models that are currently being used in industry incorporating big data. Topics covered: Process flow Process design and analysis Inventory Project management Quality, value and cost       ",NA,NA
"9","New York University","Master of Science in Business Analytics","Data Visualization"," “Visualization is a kind of narrative, providing a clear answer to a question without extraneous details.” -Ben Fry. This course is an introduction to the principles and techniques of data visualization. Visualizations are graphical depictions of data that can improve comprehension, communication, and decision making. In this course, students will learn visual representation methods and techniques that increase the understanding of complex data and models. Emphasis is placed on the identification of patterns, trends and differences from datasets across categories, space, and time. This is a hands-on course. Students will use several tools to refine their data and create visualizations. These include: R, Python, ManyEyes, HTML/CSS, D3.js, Google Charts, Adobe Illustrator, and Excel. Topics covered:  Design principles for charts and graphs Creating data displays Designing effective digital presentations Visualizing categorical data Time series data, multiple variables, and geospatial data Dashboard design Web-based visualizations       ",NA,NA
"10","New York University","Master of Science in Business Analytics","Network Analytics"," Social media and mobile commerce create massive connected data sets that contain a wealth of business and social insights. This course will translate cutting-edge network science research into actionable analytics strategies for dealing with big data that is networked, text-intensive and unstructured, with applications from viral marketing, A/B testing and media planning. Topics covered: Network basics Strength and trust in social networks Measuring and interpreting network position Community structure in networks Identifying and measuring contagion in networks       ",NA,NA
